state_code,state,land_ha,prf_ha,prf_pct
01,Johor,1916600,334502.0,17.5
02,Kedah,950000,341976.0,36.0
03,Kelantan,1509900,629881.0,41.7
04,Melaka,166400,5199.0,3.1
05,Negeri Sembilan,668600,155143.0,23.2
06,Pahang,3596500,1588298.0,44.2
07,Perak,2103500,986848.0,46.9
08,Perlis,82100,10629.0,12.9
09,Pulau Pinang,104800,5387.0,5.1
10,Sabah,7390400,3574468.0,48.4
11,Sarawak,12445000,3964880.0,31.9
12,Selangor,810400,250208.0,30.9
14,Terengganu,1303500,540309.0,41.5
15,W.P. Kuala Lumpur,24300,68.0,0.3
